Title,Year,Director,Director_Gender,Actor,Actor_Gender,Theme_Code,Role_Code,Monster_Code,Victim_Empower_Code,Die_Survive_Code,Race_Code,Director_Code,IMG
Silent Hill,2006,Christophe Gans,M,Radha Mitchell,F,1,1,2,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/1/5/3/2/51532-silent-hill-0-70-0-105-crop.jpg?v=7517ea94ce
We're All Going to the World's Fair,2021,Jane Schoenbrun,F,Anna Cobb,F,5,2,1,2,1,1,2,https://a.ltrbxd.com/resized/film-poster/6/9/5/5/2/2/695522-we-re-all-going-to-the-world-s-fair-0-70-0-105-crop.jpg?v=d123af3067
Ring,1998,Hideo Nakata,M,Nanako Matsushima,F,1,1,2,1,1,2,1,https://a.ltrbxd.com/resized/film-poster/5/0/1/5/5/50155-ring-0-70-0-105-crop.jpg?v=800d3d2b3e
Watcher,2022,Chloe Okuno,F,Maika Monroe,F,2,1,1,2,1,1,2,https://a.ltrbxd.com/resized/film-poster/7/2/4/2/8/9/724289-watcher-0-70-0-105-crop.jpg?v=20f5e266d9
Final Destination 3,2006,James Wong,M,Mary Elizabeth Winstead,F,5,2,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/4/7/3/0/6/47306-final-destination-3-0-70-0-105-crop.jpg?v=c424e0bd0d
The Hunt,2020,Craig Zobel,M,Betty Gilpin,F,5,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/4/4/4/2/4/444424-the-hunt-0-70-0-105-crop.jpg?v=07f23f90cd
Don't Look Now,1973,Nicolas Roeg,M,Julie Christie,F,1,1,2,1,1,1,1,https://a.ltrbxd.com/resized/sm/upload/b1/xg/44/w1/mK1SxllUiyAjtugZg3M64e2CTu3-0-70-0-105-crop.jpg?v=caa512b778
Swallow,2019,Carlo Mirabella-Davis,M,Haley Bennett,F,1,1,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/1/4/3/2/9/514329-swallow-0-70-0-105-crop.jpg?v=79c114b6f4
Annabelle: Creation,2017,David F. Sandberg,M,Stephanie Sigman,F,1,2,2,1,1,2,1,https://a.ltrbxd.com/resized/film-poster/3/3/0/7/9/0/330790-annabelle-creation-0-70-0-105-crop.jpg?v=6ef299dffd
Halloween II,1981,Rick Rosenthal,M,Jamie Lee Curtis,F,2,5,1,1,1,1,1,https://a.ltrbxd.com/resized/sm/upload/yr/9z/xm/sl/9oXa66gARefZBuca4xpD8EFbcVg-0-70-0-105-crop.jpg?v=4b4c901122
Unfriended,2014,Levan Gabriadze,M,Shelley Hennig,F,3,2,1,1,1,1,1,https://a.ltrbxd.com/resized/sm/upload/2s/t4/di/18/hfEBlhvVWFt61EWjNbjlKdDilBI-0-70-0-105-crop.jpg?v=592f643b3a
Host,2020,Rob Savage,M,Haley Bishop,F,2,5,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/6/4/5/7/1/8/645718-host-0-70-0-105-crop.jpg?v=4d73e2cf1c
Funny Games,2007,Michael Haneke,M,Naomi Watts,F,2,1,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/4/7/7/1/0/47710-funny-games-0-70-0-105-crop.jpg?v=5fb4eca12a
Resident Evil,2002,Paul W. S. Anderson,M,Milla Jovovich,F,2,5,1,2,1,1,1,https://a.ltrbxd.com/resized/sm/upload/be/up/oa/mj/4IuJ58S6jSQ4z7KoIPweX4HDx0n-0-70-0-105-crop.jpg?v=fa13fd465a
The Boogeyman,2023,Rob Savage,M,Sophie Thatcher,F,2,2,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/6/1/8/0/8/461808-the-boogeyman-0-70-0-105-crop.jpg?v=3da169a386
Dawn of the Dead,2004,Zack Snyder,M,Sarah Polley,F,1,4,1,2,1,1,1,https://a.ltrbxd.com/resized/sm/upload/jd/d8/7x/e8/yfqsgzW6AQYmBjIEIq0y9EB1Rgl-0-70-0-105-crop.jpg?v=7d5cbe2c3c
Happy Death Day 2U,2019,Christopher Landon,M,Jessica Rothe,F,2,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/4/1/8/5/6/441856-happy-death-day-2u-0-70-0-105-crop.jpg?v=05ac8783bc
Underwater,2020,William Eubank,M,Kristen Stewart,F,5,5,1,2,2,1,1,https://a.ltrbxd.com/resized/sm/upload/ns/i3/5q/m6/C67E536B-E8A3-4AD1-A9B8-4443EA9695D9-0-70-0-105-crop.jpg?v=7034493b01
Lights Out,2016,David F. Sandberg,M,Teresa Palmer,F,1,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/2/7/6/2/6/7/276267-lights-out-0-70-0-105-crop.jpg?v=849bf121d1
Alien Resurrection,1997,Jean-Pierre Jeunet,M,Sigourney Weaver,F,1,5,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/7/8/8/7/47887-alien-resurrection-0-70-0-105-crop.jpg?v=2b6009c350
The Lodge,2019,Veronika Franz,F,Riley Keough,F,1,5,2,1,1,1,2,https://a.ltrbxd.com/resized/film-poster/4/0/6/0/0/1/406001-the-lodge-0-70-0-105-crop.jpg?v=31232889e2
Hellraiser,2022,David Bruckner,M,Odessa A'zion,F,5,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/2/6/8/3/6/0/268360-hellraiser-0-70-0-105-crop.jpg?v=c5c7bc62cb
Un Chien Andalou,1929,Luis Buñuel,M,Simone Mareuil,F,2,5,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/5/1/4/9/8/51498-un-chien-andalou-0-70-0-105-crop.jpg?v=6f1b84e3af
Velvet Buzzsaw,2019,Dan Gilroy,M,Rene Russo,F,5,5,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/3/9/5/3/7/4/395374-velvet-buzzsaw-0-70-0-105-crop.jpg?v=87d7a65728
Lake Mungo,2008,Joel Anderson,M,Rosie Traynor,F,3,2,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/3/4/5/7/6/34576-lake-mungo-0-70-0-105-crop.jpg?v=3f3d18dc01
Wendell & Wild,2022,Henry Selick,M,Lyric Ross,F,1,2,1,2,1,2,1,https://a.ltrbxd.com/resized/film-poster/4/4/1/4/7/4/441474-wendell-wild-0-70-0-105-crop.jpg?v=b2a137b707
The Watchers,2024,Ishana Night Shyamalan,F,Dakota Fanning,F,1,5,1,2,1,1,2,https://a.ltrbxd.com/resized/film-poster/9/7/9/7/8/3/979783-the-watchers-0-70-0-105-crop.jpg?v=efaa9f479d
Jeepers Creepers,2001,Victor Salva,M,Gina Philips,F,2,5,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/7/5/0/6/47506-jeepers-creepers-0-70-0-105-crop.jpg?v=6d702fc8ce
Crawl,2019,Alexandre Aja,M,Kaya Scodelario,F,5,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/4/1/6/6/5/441665-crawl-0-70-0-105-crop.jpg?v=3677f950e5
The Fog,1980,John Carpenter,M,Adrienne Barbeau,F,5,5,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/1/3/6/2/51362-the-fog-0-70-0-105-crop.jpg?v=2f669d4209
Scanners,1981,David Cronenberg,M,Jennifer O'Neill,F,1,5,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/7/0/6/2/47062-scanners-0-70-0-105-crop.jpg?v=41f5e788db
Sleepaway Camp,1983,Robert Hiltzik,M,Felissa Rose,F,5,5,2,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/3/7/7/8/43778-sleepaway-camp-0-70-0-105-crop.jpg?v=0c32173cc8
What Ever Happened to Baby Jane?,1962,Robert Aldrich,M,Bette Davis,F,5,3,2,1,1,1,1,https://a.ltrbxd.com/resized/sm/upload/cq/ht/cp/b9/7Zr0EuDMcIvnJREsLmaAWi5x7mV-0-70-0-105-crop.jpg?v=2a2340c9fd
Carrie,2013,Kimberly Peirce,F,Chloë Grace Moretz,F,3,2,2,1,2,1,2,https://a.ltrbxd.com/resized/sm/upload/2u/pi/5y/v0/h5YXR3xYXeV66DnQtiGrdN29ExR-0-70-0-105-crop.jpg?v=714ac73be8
A Tale of Two Sisters,2003,Kim Jee-woon,M,Lim Soo-jung,F,1,2,2,1,1,2,1,https://a.ltrbxd.com/resized/sm/upload/wm/de/5k/bi/8fmnXoIw3e3J7YSr8bzcPica4Dk-0-70-0-105-crop.jpg?v=7f3e0cac93
Friday the 13th Part 2,1981,Steve Miner,M,Amy Steel,F,2,4,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/6/8/8/2/46882-friday-the-13th-part-2-0-70-0-105-crop.jpg?v=e44d9e7a58
Annabelle Comes Home,2019,Gary Dauberman,M,Vera Farmiga,F,1,4,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/5/0/5/5/0/450550-annabelle-comes-home-0-70-0-105-crop.jpg?v=1738ed4de0
A Nightmare on Elm Street 3: Dream Warriors,1987,Chuck Russell,M,Patricia Arquette,F,2,4,1,1,2,1,1,https://a.ltrbxd.com/resized/sm/upload/29/hz/3n/dz/r3fVcNVXsLdo8xZhoOSeUwMNM6B-0-70-0-105-crop.jpg?v=3beb4abd93
Onibaba,1964,Kaneto Shindō,M,Nobuko Otowa,F,1,5,2,1,1,2,1,https://a.ltrbxd.com/resized/sm/upload/3x/qu/ti/2g/nITg6iRWo3CVWJEnhV4AiD3ukfx-0-70-0-105-crop.jpg?v=d394e337a5
Incantation,2022,Kevin Ko,M,Hsuan-yen Tsai,F,1,1,2,1,2,2,1,https://a.ltrbxd.com/resized/film-poster/7/7/8/5/2/6/778526-incantation-0-70-0-105-crop.jpg?v=6c3dfde6b3
In the Tall Grass,2019,Vincenzo Natali,M,Laysla De Oliveira,F,1,1,1,1,2,2,1,https://a.ltrbxd.com/resized/film-poster/4/5/2/5/9/6/452596-in-the-tall-grass-0-70-0-105-crop.jpg?v=323eb5b15c
Repulsion,1965,Roman Polanski,M,Catherine Deneuve,F,3,3,2,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/5/2/6/3/45263-repulsion-0-70-0-105-crop.jpg?v=54da67ac02
Under Paris,2024,Xavier Gens,M,Bérénice Bejo,F,5,5,1,1,1,2,1,https://a.ltrbxd.com/resized/film-poster/9/0/2/0/5/8/902058-under-paris-0-70-0-105-crop.jpg?v=6ae438e784
The Shallows,2016,Jaume Collet-Serra,M,Blake Lively,F,1,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/2/6/1/1/1/2/261112-the-shallows-0-70-0-105-crop.jpg?v=11e70234af
Oculus,2013,Mike Flanagan,M,Karen Gillan,F,1,5,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/1/1/7/6/8/7/117687-oculus-0-70-0-105-crop.jpg?v=57ea8704a2
Diabolique,1955,Henri-Georges Clouzot,M,Véra Clouzot,F,2,5,2,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/5/1/3/2/5/51325-diabolique-0-70-0-105-crop.jpg?v=4b7fb60833
Cam,2018,Daniel Goldhaber,M,Madeline Brewer,F,3,3,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/5/1/4/8/2/451482-cam-0-70-0-105-crop.jpg?v=abd12bddfc
Triangle,2009,Christopher Smith,M,Melissa George,F,1,1,2,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/3/5/3/0/7/35307-triangle-0-70-0-105-crop.jpg?v=5b48fb0d4d
Dressed to Kill,1980,Brian De Palma,M,Nancy Allen,F,2,1,1,1,2,1,1,https://a.ltrbxd.com/resized/sm/upload/we/d3/m3/8d/bRvIvD6pu7KQU3OOKQk8tuIwBkI-0-70-0-105-crop.jpg?v=1213d0ea32
Planet Terror,2007,Robert Rodriguez,M,Rose McGowan,F,2,3,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/0/6/2/0/50620-planet-terror-0-70-0-105-crop.jpg?v=d8cbbb5a09
The Boy,2016,William Brent Bell,M,Lauren Cohan,F,2,4,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/2/4/8/3/1/8/248318-the-boy-0-70-0-105-crop.jpg?v=d401d28b36
The Orphanage,2007,J. A. Bayona,M,Belén Rueda,F,1,1,1,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/5/1/9/9/1/51991-the-orphanage-0-70-0-105-crop.jpg?v=943affce32
Mama,2013,Andy Muschietti,M,Jessica Chastain,F,1,5,1,2,1,1,1,https://a.ltrbxd.com/resized/sm/upload/ph/ik/j6/b9/kFMrQCo0Ue9GkeptoiB65FwF0lg-0-70-0-105-crop.jpg?v=964a0cd540
Revenge,2017,Coralie Fargeat,F,Matilda Anna Ingrid Lutz,F,2,5,2,2,1,1,2,https://a.ltrbxd.com/resized/film-poster/3/9/9/4/4/9/399449-revenge-0-70-0-105-crop.jpg?v=ca125caf27
May,2002,Lucky McKee,M,Angela Bettis,F,4,5,2,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/5/7/9/8/45798-may-0-70-0-105-crop.jpg?v=206f23e0f9
AVP: Alien vs. Predator,2004,Paul W. S. Anderson,M,Sanaa Lathan,F,5,5,1,2,1,2,1,https://a.ltrbxd.com/resized/film-poster/5/1/6/9/5/51695-avp-alien-vs-predator-0-70-0-105-crop.jpg?v=dd4739e484
The Cloverfield Paradox,2018,Julius Onah,M,Gugu Mbatha-Raw,F,1,5,1,2,1,2,1,https://a.ltrbxd.com/resized/film-poster/3/1/9/4/0/9/319409-the-cloverfield-paradox-0-70-0-105-crop.jpg?v=d0644999f9
Carnival of Souls,1962,Herk Harvey,M,Candace Hilligoss,F,3,3,2,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/4/1/8/3/8/41838-carnival-of-souls-0-70-0-105-crop.jpg?v=a3719cf15b
The Strangers: Chapter 1,2024,Renny Harlin,M,Madelaine Petsch,F,2,5,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/9/1/0/5/1/2/910512-the-strangers-chapter-1-0-70-0-105-crop.jpg?v=9b6400cb22
Bride of Chucky,1998,Ronny Yu,M,Jennifer Tilly,F,2,1,2,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/4/4/8/7/5/44875-bride-of-chucky-0-70-0-105-crop.jpg?v=9de22d4686
The Perfection,2018,Richard Shepard,M,Allison Williams,F,2,3,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/5/9/1/8/4/459184-the-perfection-0-70-0-105-crop.jpg?v=b6cd3c0695
The House of the Devil,2009,Ti West,M,Jocelin Donahue,F,1,5,1,1,1,1,1,https://a.ltrbxd.com/resized/sm/upload/ka/be/ya/by/gowkjB9qluxa4N3zxt9uKkWe0Ut-0-70-0-105-crop.jpg?v=33cd5dd409
I See You,2019,Adam Randall,M,Helen Hunt,F,1,1,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/5/3/8/3/3/453833-i-see-you-0-70-0-105-crop.jpg?v=f88bcae323
Escape Room: Tournament of Champions,2021,Adam Robitel,M,Taylor Russell,F,5,2,1,1,1,2,1,https://a.ltrbxd.com/resized/film-poster/5/1/3/0/3/0/513030-escape-room-tournament-of-champions-0-70-0-105-crop.jpg?v=bfb15f8335
The Devil's Backbone,2001,Guillermo del Toro,M,Marisa Paredes,F,2,4,1,1,2,1,1,https://a.ltrbxd.com/resized/sm/upload/h4/ea/tl/l5/e9UizPFgoCnRCPtR0tyg2JNXY6A-0-70-0-105-crop.jpg?v=24af090ca9
Friday the 13th: The Final Chapter,1984,Joseph Zito,M,Judie Aronson,F,2,2,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/6/8/7/7/46877-friday-the-13th-the-final-chapter-0-70-0-105-crop.jpg?v=9e63930345
Insidious: Chapter 3,2015,Leigh Whannell,M,Stefanie Scott,F,1,2,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/2/0/5/0/1/4/205014-insidious-chapter-3-0-70-0-105-crop.jpg?v=9172b213e5
The Taking of Deborah Logan,2014,Adam Robitel,M,Jill Larson,F,1,5,2,1,1,1,1,https://a.ltrbxd.com/resized/sm/upload/lc/rp/vf/6c/lVHsBxkEXSH25TaUfyYF4KfrhlB-0-70-0-105-crop.jpg?v=2280bb4d9b
The Wolf House,2018,Cristóbal León,M,Amalia Kassai,F,2,2,1,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/2/9/5/7/1/429571-the-wolf-house-0-70-0-105-crop.jpg?v=34ae08eff4
