Title,Year,Director,Director_Gender,Actor,Actor_Gender,Synopsis
Totally Killer,2023,Nahnatchka Khan,F,Kiernan Shipka,F,"When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start."
Creep,2014,Patrick Brice,M,Mark Duplass,M,"Looking for work, Aaron comes across a cryptic online ad: “$1,000 for the day. Filming service. Discretion is appreciated.” Low on cash and full of naiveté, he decides to go for it. He drives to a cabin in a remote mountain town where he meets Josef, his cinematic subject for the day. Josef is sincere and the project seems heartfelt, so Aaron begins to film. But as the day goes on, it becomes clear that Josef is not who he says, and his intentions are not at all pure."
Saw II,2005,Darren Lynn Bousman,M,Tobin Bell,M,"When a new murder victim is discovered with all the signs of Jigsaw's hand, Detective Eric Matthews begins a full investigation and apprehends Jigsaw with little effort. But for Jigsaw, getting caught is just another part of his plan. Eight more of his victims are already fighting for their lives and now it's time for Matthews to join the game."
Twin Peaks: Fire Walk with Me,1992,David Lynch,M,Sheryl Lee,F,"In the questionable town of Deer Meadow, Washington, FBI Agent Desmond inexplicably disappears while hunting for the man who murdered a teen girl. The killer is never apprehended, and, after experiencing dark visions and supernatural encounters, Agent Dale Cooper chillingly predicts that the culprit will claim another life. Meanwhile, in the more cozy town of Twin Peaks, hedonistic beauty Laura Palmer hangs with lowlifes and seems destined for a grisly fate."
The Descent,2005,Neil Marshall,M,Shauna Macdonald,F,"After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other."
When Evil Lurks,2023,Demián Rugna,M,Ezequiel Rodríguez,M,"Residents of a small rural town discover that a demon is about to be born among them. They desperately try to escape before the evil is born, but it may be too late."
Lisa Frankenstein,2024,Zelda Williams,F,Kathryn Newton,F,"In 1989, a misunderstood teenager has a high school crush — who just happens to be a handsome corpse! After a set of playfully horrific circumstances bring him back to life, the two embark on a murderous journey to find love, happiness…and a few missing body parts along the way."
Nosferatu,1922,F. W. Murnau,M,Max Schreck,M,Vampire Count Orlok is interested in a new residence and in his real estate agent’s young wife. F. W. Murnau’s unauthorized adaptation of Bram Stoker’s “Dracula.”
Final Destination,2000,James Wong,M,Devon Sawa,M,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one."
Hush,2016,Mike Flanagan,M,Kate Siegel,F,A deaf woman is stalked by a psychotic killer in her secluded home.
Renfield,2023,Chris McKay,M,Nicholas Hoult,M,"Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Quincy."
Night of the Living Dead,1968,George A. Romero,M,Judith O'Dea,F,A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse.
Crimson Peak,2015,Guillermo del Toro,M,Mia Wasikowska,F,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers."
Evil Dead,2013,Fede Álvarez,M,Jane Levy,F,"Mia, a young woman struggling with sobriety, heads to a remote cabin with a group of friends where the discovery of a Book of the Dead unwittingly summon up dormant demons which possess the youngsters one-by-one."
Candyman,2021,Nia DaCosta,F,Yahya Abdul-Mateen II,M,"Anthony and his partner move into a loft in the now gentrified Cabrini. After a chance encounter with an old-timer exposes Anthony to the true story behind Candyman, he unknowingly opens a door to a complex past that unravels his own sanity and unleashes a terrifying wave of violence."
The Ring,2002,Gore Verbinski,M,Naomi Watts,F,"It sounded like just another urban legend: A videotape filled with nightmarish images, leading to a phone call foretelling the viewer's death in exactly seven days. As a newspaper reporter, Rachel Keller was naturally skeptical of the story, until four teenagers all met with mysterious deaths exactly one week after watching just such a tape. Allowing her investigative curiosity to get the better of her, Rachel tracks down the video... and watches it. Now she has just seven days to unravel the mystery of the Ring."
Cloverfield,2008,Matt Reeves,M,Lizzy Caplan,F,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives."
Crimes of the Future,2022,David Cronenberg,M,Viggo Mortensen,M,"As the human species adapts to a synthetic environment, the body undergoes new transformations and mutations. With his partner Caprice, celebrity performance artist Saul Tenser publicly showcases the metamorphosis of his organs in avant-garde performances. Timlin, an investigator from the National Organ Registry, obsessively tracks their movements, which is when a mysterious group is revealed. Their mission – to use Saul’s notoriety to shed light on the next phase of human evolution."
Spree,2020,Eugene Kotlyarenko,M,Joe Keery,M,"Kurt Kunkle, a rideshare driver thirsty for followers, has figured out a deadly plan to go viral. As his disturbing livestream is absurdly embraced by the social media hellscape, a comedienne emerges as the only hope to stop this rampage."
[REC],2007,Jaume Balagueró,M,Manuela Velasco,F,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.
Cure,1997,Kiyoshi Kurosawa,M,Koji Yakusho,M,"A wave of gruesome murders is sweeping Tokyo. The only connection is a bloody X carved into the neck of each of the victims. In each case, the murderer is found near the victim and remembers nothing of the crime. Detective Takabe and psychologist Sakuma are called in to figure out the connection, but their investigation goes nowhere..."
The Mist,2007,Frank Darabont,M,Thomas Jane,M,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity."
Fear Street: 1666,2021,Leigh Janiak,F,Kiana Madeira,F,"In 1666, a colonial town is gripped by a hysterical witch-hunt that has deadly consequences for centuries to come, and it's up to teenagers in 1994 to finally put an end to their town's curse, before it's too late."
The Love Witch,2016,Anna Biller,F,Samantha Robinson,F,"Elaine, a beautiful young witch, is determined to find a man to love her. In her gothic Victorian apartment she makes spells and potions, and then picks up men and seduces them. However her spells work too well, and she ends up with a string of hapless victims. When she finally meets the man of her dreams, her desperation to be loved will drive her to the brink of insanity and murder."
Poltergeist,1982,Tobe Hooper,M,Craig T. Nelson,M,"Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late."
Audition,1999,Takashi Miike,M,Ryo Ishibashi,M,"Seven years after the death of his wife, company executive Aoyama is invited to sit in on auditions for an actress. Leafing through the resumés in advance, his eye is caught by Yamazaki Asami, a striking young woman with ballet training."
Thanksgiving,2023,Eli Roth,M,Patrick Dempsey,M,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, sinister holiday plan."
"As Above, So Below",2014,John Erick Dowdle,M,Perdita Weeks,F,"When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead."
The Nun,2018,Corin Hardy,M,Taissa Farmiga,F,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order’s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in “The Conjuring 2” as the abbey becomes a horrific battleground between the living and the damned."
Sleepy Hollow,1999,Tim Burton,M,Johnny Depp,M,New York detective Ichabod Crane is sent to Sleepy Hollow to investigate a series of mysterious deaths in which the victims are found beheaded. But the locals believe the culprit to be none other than the ghost of the legendary Headless Horseman.
Abigail,2024,Matt Bettinelli-Olpin,M,Melissa Barrera,F,"A group of criminals kidnaps a teenage ballet dancer, the daughter of a notorious gang leader, in order to obtain a ransom of $50 million, but over time, they discover that she is not just an ordinary girl. After the kidnappers begin to diminish, one by one, they discover, to their increasing horror, that they are locked inside with an unusual girl."
The Host,2006,Bong Joon-ho,M,Song Kang-ho,M,"Following the dumping of gallons of toxic waste in the river, a giant mutated squid-like creature appears and begins attacking the populace. Gang-du's daughter Hyun-seo is snatched up by the creature; with his family to assist him, he sets off to find her."
Halloween Kills,2021,David Gordon Green,M,Jamie Lee Curtis,F,"The nightmare isn't over as unstoppable killer Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, Ill., to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all."
The Wicker Man,1973,Robin Hardy,M,Edward Woodward,M,"Police sergeant Neil Howie is called to an island village in search of a missing girl whom the locals claim never existed. Stranger still, however, are the rituals that take place there."
The First Omen,2024,Arkasha Stevenson,F,Nell Tiger Free,F,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate."
I Saw the Devil,2010,Kim Jee-woon,M,Lee Byung-hun,M,"Kyung-chul is a dangerous psychopath who kills for pleasure. He has committed infernal serial murders in diabolic ways that one cannot even imagine and his victims range from young women to even children. The police have chased him for a long time, but were unable to catch him. One day, Joo-yeon, daughter of a retired police chief becomes his prey and is found dead in a horrific state. Her fiance Soo-hyun, a top secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take bloody vengeance against the killer, even if it means that he must become a monster himself to get this monstrous and inhumane killer."
The Lost Boys,1987,Joel Schumacher,M,Jason Patric,M,A mother and her two teenage sons move to a seemingly nice and quiet small coastal California town yet soon find out that it's overrun by bike gangs and vampires. A couple of teenage friends take it upon themselves to hunt down the vampires that they suspect of a few mysterious murders and restore peace and calm to their town.
Skinamarink,2022,Kyle Edward Ball,M,Lucas Paul,M,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished."
The Haunting of Hill House,2018,Mike Flanagan,M,Michiel Huisman,M,"The Crains, a fractured family, confront haunting memories of their old home and the terrifying events that drove them from it."
Saint Maud,2019,Rose Glass,F,Morfydd Clark,F,"Having recently found God, self-effacing young nurse Maud arrives at a plush home to care for Amanda, a hedonistic dancer left frail from a chronic illness. When a chance encounter with a former colleague throws up hints of a dark past, it becomes clear there is more to sweet Maud than meets the eye."
From Dusk Till Dawn,1996,Robert Rodriguez,M,George Clooney,M,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint."
Alien: Covenant,2017,Ridley Scott,M,Michael Fassbender,M,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition."
The Meg,2018,Jon Turteltaub,M,Jason Statham,M,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct."
Vivarium,2019,Lorcan Finnegan,M,Imogen Poots,F,"A young woman and her fiancé are in search of the perfect starter home. After following a mysterious real estate agent to a new housing development, the couple finds themselves trapped in a maze of identical houses and forced to raise an otherworldly child."
Army of Darkness,1992,Sam Raimi,M,Bruce Campbell,M,"A man is accidentally transported to 1300 A.D., where he must battle an army of the dead and retrieve the Necronomicon so he can return home."
An American Werewolf in London,1981,John Landis,M,David Naughton,M,Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.
The Visit,2015,M. Night Shyamalan,M,Olivia DeJonge,F,"The terrifying story of a brother and sister who are sent to their grandparents' remote Pennsylvania farm for a weeklong trip. Once the children discover that the elderly couple is involved in something deeply disturbing, they see their chances of getting back home are growing smaller every day."
Terrifier,2016,Damien Leone,M,David Howard Thornton,M,A maniacal clown named Art terrorizes three young women and everyone else who stands in his way on Halloween night.
Lamb,2021,Valdimar Jóhannsson,M,Noomi Rapace,F,"A couple discover a mysterious half-lamb/half-human newborn on their farm in Iceland. The unexpected prospect of family life brings them much joy, before ultimately destroying them."
Halloween Ends,2022,David Gordon Green,M,Jamie Lee Curtis,F,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all."
The Wailing,2016,Na Hong-jin,M,Kwak Do-won,M,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.
Constantine,2005,Francis Lawrence,M,Keanu Reeves,M,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles."
Antichrist,2009,Lars von Trier,M,Willem Dafoe,M,"A grieving couple retreats to their cabin 'Eden' in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse."
The Cabinet of Dr. Caligari,1920,Robert Wiene,M,Werner Krauß,M,"Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep."
Blade,1998,Stephen Norrington,M,Wesley Snipes,M,"When Blade's mother was bitten by a vampire during pregnancy, she did not know that she gave her son a special gift while dying—all the good vampire attributes in combination with the best human skills. Blade and his mentor battle an evil vampire rebel who plans to take over the outdated vampire council, capture Blade and resurrect a voracious blood god."
No One Will Save You,2023,Brian Duffield,M,Kaitlyn Dever,F,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.
Paranormal Activity,2007,Oren Peli,M,Katie Featherston,F,"Soon after moving into a suburban tract home, Katie and Micah become increasingly disturbed by what appears to be a supernatural presence. Hoping to capture evidence of it on film, they set up video cameras in the house but are not prepared for the terrifying events that follow."
Child's Play,1988,Tom Holland,M,Catherine Hicks,F,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed by the soul of a serial killer."
Candyman,1992,Bernard Rose,M,Virginia Madsen,F,"The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth."
Possessor,2020,Brandon Cronenberg,M,Andrea Riseborough,F,"Tasya Vos, an elite corporate assassin, uses brain-implant technology to take control of other people’s bodies to terminate high profile targets. As she sinks deeper into her latest assignment, Vos becomes trapped inside a mind that threatens to obliterate her."
Run,2020,Aneesh Chaganty,M,Sarah Paulson,F,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret."
The Nun II,2023,Michael Chaves,M,Taissa Farmiga,F,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil."
Let the Right One In,2008,Tomas Alfredson,M,Kåre Hedebrant,M,"Set in 1982 in the suburb of Blackeberg, Stockholm, twelve-year-old Oskar is a lonely outsider, bullied at school by his classmates; at home, Oskar dreams of revenge against a trio of bullies. He befriends his twelve-year-old, next-door neighbor Eli, who only appears at night in the snow-covered playground outside their building."
The Ritual,2017,David Bruckner,M,Rafe Spall,M,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them."
The Devil's Advocate,1997,Taylor Hackford,M,Keanu Reeves,M,"Aspiring Florida defense lawyer Kevin Lomax accepts a job at a New York law firm. With the stakes getting higher every case, Kevin quickly learns that his boss has something far more evil planned."
Saw III,2006,Darren Lynn Bousman,M,Tobin Bell,M,"Jigsaw has disappeared. Along with his new apprentice Amanda, the puppet-master behind the cruel, intricate games that have terrified a community and baffled police has once again eluded capture and vanished. While city detective scramble to locate him, Doctor Lynn Denlon and Jeff Reinhart are unaware that they are about to become the latest pawns on his vicious chessboard."
It Comes at Night,2017,Trey Edward Shults,M,Joel Edgerton,M,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son, but this will soon be put to test when a desperate young family arrives seeking refuge."
Martyrs,2008,Pascal Laugier,M,Morjana Alaoui,F,"A young woman’s quest for revenge against the people who kidnapped and tortured her as a child leads her and her best friend, also a victim of child abuse, on a terrifying journey into a living hell of depravity."
Terrifier 2,2022,Damien Leone,M,David Howard Thornton,M,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent."
Army of the Dead,2021,Zack Snyder,M,Dave Bautista,M,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted."
The House,2022,Paloma Baeza,F,Mia Goth,F,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy."
The Babysitter,2017,McG,M,Judah Lewis,M,"When Cole stays up past his bedtime, he discovers that his hot babysitter is part of a Satanic cult that will stop at nothing to keep him quiet."
Werewolf by Night,2022,Michael Giacchino,M,Gael García Bernal,M,"On a dark and somber night, a secret cabal of monster hunters emerge from the shadows and gather at the foreboding Bloodstone Temple following the death of their leader. In a strange and macabre memorial to the leader’s life, the attendees are thrust into a mysterious and deadly competition for a powerful relic—a hunt that will ultimately bring them face to face with a dangerous monster."
Alien³,1992,David Fincher,M,Sigourney Weaver,F,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can."
Little Shop of Horrors,1986,Frank Oz,M,Rick Moranis,M,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper."
The Strangers,2008,Bryan Bertino,M,Liv Tyler,F,"After returning from a wedding reception, a couple staying in an isolated vacation house receive a knock on the door in the mid-hours of the night. What ensues is a violent invasion by three strangers, their faces hidden behind masks. The couple find themselves in a violent struggle, in which they go beyond what either of them thought capable in order to survive."
The Autopsy of Jane Doe,2016,André Øvredal,M,Emile Hirsch,M,"Father and son coroners receive a mysterious unidentified corpse with no apparent cause of death. As they attempt to examine the beautiful young ""Jane Doe,"" they discover increasingly bizarre clues that hold the key to her terrifying secrets."
Eyes Without a Face,1960,Georges Franju,M,Pierre Brasseur,M,"Dr. Génessier is riddled with guilt after an accident that he caused disfigures the face of his daughter, the once beautiful Christiane, who outsiders believe is dead. Dr. Génessier, along with accomplice and laboratory assistant Louise, kidnaps young women and brings them to the Génessier mansion. After rendering his victims unconscious, Dr. Génessier removes their faces and attempts to graft them on to Christiane's."
Hannibal,2001,Ridley Scott,M,Anthony Hopkins,M,"After having successfully eluded the authorities for years, Hannibal peacefully lives in Italy in disguise as an art scholar. Trouble strikes again when he's discovered leaving a deserving few dead in the process. He returns to America to make contact with now disgraced Agent Clarice Starling, who is suffering the wrath of a malicious FBI rival as well as the media."
A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,F,Sheila Vand,F,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire."
Annabelle,2014,John R. Leonetti,M,Annabelle Wallis,F,"John Form has found the perfect gift for his expectant wife, Mia - a beautiful, rare vintage doll in a pure white wedding dress. But Mia's delight with Annabelle doesn't last long. On one horrific night, their home is invaded by members of a satanic cult, who violently attack the couple. Spilled blood and terror are not all they leave behind. The cultists have conjured an entity so malevolent that nothing they did will compare to the sinister conduit to the damned that is now... Annabelle."
The Invitation,2015,Karyn Kusama,F,Logan Marshall-Green,M,"Will and his new girlfriend Kira are invited to a dinner with old friends at the house of Will’s ex Eden and her new partner David. Although the evening appears to be relaxed, Will soon gets a creeping suspicion that their charming host David is up to something."
Freaky,2020,Christopher Landon,M,Vince Vaughn,M,"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl."
Gerald's Game,2017,Mike Flanagan,M,Carla Gugino,F,"When her husband's sex game goes wrong, Jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice."
Death Becomes Her,1992,Robert Zemeckis,M,Goldie Hawn,F,"Madeline is married to Ernest, who was once arch-rival Helen's fiance. After recovering from a mental breakdown, Helen vows to kill Madeline and steal back Ernest. Unfortunately for everyone, the introduction of a magic potion causes things to be a great deal more complicated than a mere murder plot."
I Know What You Did Last Summer,1997,Jim Gillespie,M,Jennifer Love Hewitt,F,"As they celebrate their high school graduation, four friends are involved in a hit-and-run accident when their car hits and apparently kills a pedestrian on an isolated roadway. They dispose of the body and vow to keep the incident a secret, a year later somebody starts sending them letters bearing the warning ""I Know What You Did Last Summer""."
Life,2017,Daniel Espinosa,M,Jake Gyllenhaal,M,"The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected."
Texas Chainsaw Massacre,2022,David Blue Garcia,M,Sarah Yarkin,F,"In this sequel, influencers looking to breathe new life into a Texas ghost town encounter Leatherface, an infamous killer who wears a mask of human skin."
Inland Empire,2006,David Lynch,M,Laura Dern,F,An actress's perception of reality becomes increasingly distorted as she finds herself falling for her co-star in a remake of an unfinished Polish production that was supposedly cursed.
Dawn of the Dead,1978,George A. Romero,M,David Emge,M,"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall."
Meg 2: The Trench,2023,Ben Wheatley,M,Jason Statham,M,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.
Shin Godzilla,2016,Hideaki Anno,M,Hiroki Hasegawa,M,"When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes."
Black Christmas,1974,Bob Clark,M,Olivia Hussey,F,A sorority house is terrorized by a stranger who makes frightening phone calls and then murders the sorority sisters during Christmas break.
Warm Bodies,2013,Jonathan Levine,M,Nicholas Hoult,M,"After a zombie becomes involved with the girlfriend of one of his victims, their romance sets in motion a sequence of events that might transform the entire lifeless world."
Ma,2019,Tate Taylor,M,Octavia Spencer,F,"Sue Ann is a loner who keeps to herself in her quiet Ohio town. One day, she is asked by Maggie, a new teenager in town, to buy some booze for her and her friends, and Sue Ann sees the chance to make some unsuspecting, if younger, friends of her own."
Jacob's Ladder,1990,Adrian Lyne,M,Tim Robbins,M,"After returning home from the Vietnam War, veteran Jacob Singer struggles to maintain his sanity. Plagued by hallucinations and flashbacks, Singer rapidly falls apart as the world and people around him morph and twist into disturbing images. His girlfriend, Jezzie, and ex-wife, Sarah, try to help, but to little avail. Even Singer's chiropractor friend, Louis, fails to reach him as he descends into madness."
The Night House,2020,David Bruckner,M,Rebecca Hall,F,"Reeling from the unexpected death of her husband, Beth is left alone in the lakeside home he built for her. Soon she begins to uncover her recently deceased husband's disturbing secrets."
Mad God,2021,Phil Tippett,M,Alex Cox,M,"Follow The Assassin through a forbidding world of tortured souls, decrepit bunkers, and wretched monstrosities forged from the most primordial horrors of the subconscious mind.  Every set, creature, and effigy in this macabre masterpiece is hand-crafted and painstakingly animated using traditional stop-motion techniques. MAD GOD is a labor of love, a testament to the power of creative grit, and an homage to the timeless art of stop-motion animation.  Ready your eyes. Ready your spirit. Prepare to meet your maker."
Escape Room,2019,Adam Robitel,M,Taylor Russell,F,"Six strangers find themselves in circumstances beyond their control, and must use their wits to survive."
Frankenstein,1931,James Whale,M,Colin Clive,M,Dr Henry Frankenstein is obsessed with assembling a living being from parts of several exhumed corpses.
Drag Me to Hell,2009,Sam Raimi,M,Alison Lohman,F,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell."
Speak No Evil,2022,Christian Tafdrup,M,Morten Burian,M,A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.
Stoker,2013,Park Chan-wook,M,Mia Wasikowska,F,"After India's father dies, her Uncle Charlie, who she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him."
Insidious: The Red Door,2023,Patrick Wilson,M,Ty Simpkins,M,"To put their demons to rest once and for all, Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door."
House of Wax,2005,Jaume Collet-Serra,M,Elisha Cuthbert,F,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.
Saw IV,2007,Darren Lynn Bousman,M,Tobin Bell,M,"Jigsaw and his apprentice Amanda are dead. Now, upon the news of Detective Kerry's murder, two seasoned FBI profilers, Agent Strahm and Agent Perez, arrive in the terrified community to assist the veteran Detective Hoffman in sifting through Jigsaw's latest grisly remains and piecing together the puzzle. However, when SWAT Commander Rigg is abducted and thrust into a game, the last officer untouched by Jigsaw has but ninety minutes to overcome a series of demented traps and save an old friend...or face the deadly consequences."
Tusk,2014,Kevin Smith,M,Justin Long,M,"When his best friend and podcast co-host goes missing in the backwoods of Canada, a young guy joins forces with his friend's girlfriend to search for him."
Orphan: First Kill,2022,William Brent Bell,M,Isabelle Fuhrman,F,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost."
The New Mutants,2020,Josh Boone,M,Blu Hunt,F,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves."
The Pale Blue Eye,2022,Scott Cooper,M,Christian Bale,M,"A seasoned detective investigates a series of murders at the U.S. Military Academy in West Point in 1830. He is assisted in his investigation by an intelligent and eager young cadet named Edgar Allan Poe, who will go on to become one of America's most influential authors and the originator of the detective genre."
You're Next,2011,Adam Wingard,M,Sharni Vinson,F,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of their victims harbors a secret talent for fighting back."
A Cure for Wellness,2016,Gore Verbinski,M,Dane DeHaan,M,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps but soon suspects that the spa's miraculous treatments are not what they seem."
Scary Stories to Tell in the Dark,2019,André Øvredal,M,Zoe Colletti,F,"Mill Valley, Pennsylvania, Halloween night, 1968. After playing a joke on a school bully, Sarah and her friends decide to sneak into a supposedly haunted house that once belonged to the powerful Bellows family, unleashing dark forces that they will be unable to control."
The Omen,1976,Richard Donner,M,Gregory Peck,M,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil."
Ginger Snaps,2000,John Fawcett,M,Katharine Isabelle,F,"The story of two outcast sisters, Ginger and Brigitte, in the mindless suburban town of Bailey Downs. On the night of Ginger's first period, she is savagely attacked by a wild creature. Ginger's wounds miraculously heal but something is not quite right. Now Brigitte must save her sister and save herself."
